Cement,Coarse Aggregate,Fine Aggregate,Age,Concrete compressive strength
362.6,944.7,755.8,3,35.3
439,884.9,707.9,3,39.3
389.9,944.7,755.8,3,40.6
362.6,944.7,755.8,3,35.3
337.9,944.7,755.8,3,24.1
374,926.1,756.7,7,46.2
313.3,1046.9,611.8,7,42.8
425,852.1,887.1,7,49.2
425,936,803.7,7,46.8
375,852.1,992.6,7,45.7
475,852.1,781.5,7,55.6
469,852.1,840.5,7,54.9
425,852.1,887.1,7,49.2
388.6,852.1,925.7,7,34.9
531.3,852.1,893.7,7,46.9
425,852.1,887.1,7,49.2
318.8,852.1,880.4,7,33.4
401.8,946.8,852.1,7,54.1
362.6,944.7,755.8,7,55.9
323.7,942.7,659.9,7,49.8
379.5,1134.3,605,7,47.1
362.6,944.7,755.8,7,55.9
286.3,1004.6,803.7,7,38
362.6,944.7,755.8,7,55.9
439,884.9,707.9,7,56.1
389.9,944.7,755.8,7,59.09
362.6,944.7,755.8,7,22.9
337.9,944.7,755.8,7,35.1
374,926.1,756.7,28,61.09
313.3,1046.9,611.8,28,59.8
425,852.1,887.1,28,60.29
425,936,803.7,28,61.8
375,852.1,992.6,28,56.7
475,852.1,781.5,28,68.3
469,852.1,840.5,28,66.9
425,852.1,887.1,28,60.29
388.6,852.1,925.7,28,50.7
531.3,852.1,893.7,28,56.4
425,852.1,887.1,28,60.29
318.8,852.1,880.4,28,55.5
401.8,946.8,852.1,28,68.5
362.6,944.7,755.8,28,71.3
323.7,942.7,659.9,28,74.7
379.5,1134.3,605,28,52.2
362.6,944.7,755.8,28,71.3
286.3,1004.6,803.7,28,67.7
362.6,944.7,755.8,28,71.3
439,884.9,707.9,28,66
389.9,944.7,755.8,28,74.5
362.6,944.7,755.8,28,71.3
337.9,944.7,755.8,28,49.9
374,926.1,756.7,56,63.4
313.3,1046.9,611.8,56,64.9
425,852.1,887.1,56,64.3
425,936,803.7,56,64.9
375,852.1,992.6,56,60.2
475,852.1,781.5,56,72.3
469,852.1,840.5,56,69.3
425,852.1,887.1,56,64.3
388.6,852.1,925.7,56,55.2
531.3,852.1,893.7,56,58.8
425,852.1,887.1,56,64.3
318.8,852.1,880.4,56,66.1
401.8,946.8,852.1,56,73.7
362.6,944.7,755.8,56,77.3
323.7,942.7,659.9,56,80.2
379.5,1134.3,605,56,54.9
362.6,944.7,755.8,56,77.3
286.3,1004.6,803.7,56,72.99
362.6,944.7,755.8,56,77.3
439,884.9,707.9,56,71.7
389.9,944.7,755.8,56,79.4
362.6,944.7,755.8,56,77.3
337.9,944.7,755.8,56,59.89
374,926.1,756.7,91,64.9
313.3,1046.9,611.8,91,66.6
425,852.1,887.1,91,65.2
425,936,803.7,91,66.7
375,852.1,992.6,91,62.5
475,852.1,781.5,91,74.19
469,852.1,840.5,91,70.7
425,852.1,887.1,91,65.2
388.6,852.1,925.7,91,57.6
531.3,852.1,893.7,91,59.2
425,852.1,887.1,91,65.2
318.8,852.1,880.4,91,68.1
401.8,946.8,852.1,91,75.5
362.6,944.7,755.8,91,79.3
379.5,1134.3,605,91,56.5
362.6,944.7,755.8,91,79.3
286.3,1004.6,803.7,91,76.8
362.6,944.7,755.8,91,79.3
439,884.9,707.9,91,73.3
389.9,944.7,755.8,91,82.6
362.6,944.7,755.8,91,79.3
337.9,944.7,755.8,91,67.8
222.4,967.1,870.3,3,11.58
222.4,967.1,870.3,14,24.45
222.4,967.1,870.3,28,24.89
222.4,967.1,870.3,56,29.45
222.4,967.1,870.3,100,40.71
233.8,947,852.2,3,10.38
233.8,947,852.2,14,22.14
233.8,947,852.2,28,22.84
233.8,947,852.2,56,27.66
233.8,947,852.2,100,34.56
194.7,1006.4,905.9,3,12.45
194.7,1006.4,905.9,14,24.99
194.7,1006.4,905.9,28,25.72
194.7,1006.4,905.9,56,33.96
194.7,1006.4,905.9,100,37.34
190.7,1090,804,3,15.04
190.7,1090,804,14,21.06
190.7,1090,804,28,26.4
190.7,1090,804,56,35.34
190.7,1090,804,100,40.57
212.1,1057.6,779.3,3,12.47
212.1,1057.6,779.3,14,20.92
212.1,1057.6,779.3,28,24.9
212.1,1057.6,779.3,56,34.2
212.1,1057.6,779.3,100,39.61
230,1029.4,758.6,3,10.03
230,1029.4,758.6,14,20.08
230,1029.4,758.6,28,24.48
230,1029.4,758.6,56,31.54
230,1029.4,758.6,100,35.34
190.3,1088.1,802.6,3,9.45
190.3,1088.1,802.6,14,22.72
190.3,1088.1,802.6,28,28.47
190.3,1088.1,802.6,56,38.56
190.3,1088.1,802.6,100,40.39
166.1,1058.6,780.1,3,10.76
166.1,1058.6,780.1,14,25.48
166.1,1058.6,780.1,28,21.54
166.1,1058.6,780.1,56,28.63
166.1,1058.6,780.1,100,33.54
168,1058.7,780.1,3,7.75
168,1058.7,780.1,14,17.82
168,1058.7,780.1,28,24.24
168,1058.7,780.1,56,32.85
168,1058.7,780.1,100,39.23
213.7,1065.8,785.4,3,18
213.7,1065.8,785.4,14,30.39
213.7,1065.8,785.4,28,45.71
213.7,1065.8,785.4,56,50.77
213.7,1065.8,785.4,100,53.9
213.8,1066,785.5,3,13.18
213.8,1066,785.5,14,17.84
213.8,1066,785.5,28,40.23
213.8,1066,785.5,56,47.13
213.8,1066,785.5,100,49.97
229.7,1028.1,757.6,3,13.36
229.7,1028.1,757.6,14,22.32
229.7,1028.1,757.6,28,24.54
229.7,1028.1,757.6,56,31.35
229.7,1028.1,757.6,100,40.86
238.1,949.9,847,3,19.93
238.1,949.9,847,14,25.69
238.1,949.9,847,28,30.23
238.1,949.9,847,56,39.59
238.1,949.9,847,100,44.3
250,956.9,861.2,3,13.82
250,956.9,861.2,14,24.92
250,956.9,861.2,28,29.22
250,956.9,861.2,56,38.33
250,956.9,861.2,100,42.35
212.5,1007.8,903.6,3,13.54
212.5,1007.8,903.6,14,26.31
212.5,1007.8,903.6,28,31.64
212.5,1007.8,903.6,56,42.55
212.5,1007.8,903.6,100,42.92
212.6,1003.8,903.8,3,13.33
212.6,1003.8,903.8,14,25.37
212.6,1003.8,903.8,28,37.4
212.6,1003.8,903.8,56,44.4
212.6,1003.8,903.8,100,47.74
212,1085.4,799.5,3,19.52
212,1085.4,799.5,14,31.35
212,1085.4,799.5,28,38.5
212,1085.4,799.5,56,45.08
212,1085.4,799.5,100,47.82
231.8,1056.4,778.5,3,15.44
231.8,1056.4,778.5,14,26.77
231.8,1056.4,778.5,28,33.73
231.8,1056.4,778.5,56,42.7
231.8,1056.4,778.5,100,45.84
251.4,1028.4,757.7,3,17.22
251.4,1028.4,757.7,14,29.93
251.4,1028.4,757.7,28,29.65
251.4,1028.4,757.7,56,36.97
251.4,1028.4,757.7,100,43.58
251.4,1028.4,757.7,3,13.12
251.4,1028.4,757.7,14,24.43
251.4,1028.4,757.7,28,32.66
251.4,1028.4,757.7,56,36.64
251.4,1028.4,757.7,100,44.21
181.4,1055.6,777.8,3,13.62
181.4,1055.6,777.8,14,21.6
181.4,1055.6,777.8,28,27.77
181.4,1055.6,777.8,56,35.57
181.4,1055.6,777.8,100,45.37
182,1059.4,780.7,3,7.32
182,1059.4,780.7,14,21.5
182,1059.4,780.7,28,31.27
182,1059.4,780.7,56,43.5
182,1059.4,780.7,100,48.67
168.9,1080.8,796.2,3,7.4
168.9,1080.8,796.2,14,23.51
168.9,1080.8,796.2,28,31.12
168.9,1080.8,796.2,56,39.15
168.9,1080.8,796.2,100,48.15
290.4,961.2,865,3,22.5
290.4,961.2,865,14,34.67
290.4,961.2,865,28,34.74
290.4,961.2,865,56,45.08
290.4,961.2,865,100,48.97
277.1,973.9,875.6,3,23.14
277.1,973.9,875.6,14,41.89
277.1,973.9,875.6,28,48.28
277.1,973.9,875.6,56,51.04
277.1,973.9,875.6,100,55.64
295.7,955.1,859.2,3,22.95
295.7,955.1,859.2,14,35.23
295.7,955.1,859.2,28,39.94
295.7,955.1,859.2,56,48.72
295.7,955.1,859.2,100,52.04
251.8,1006,899.8,3,21.02
251.8,1006,899.8,14,33.36
251.8,1006,899.8,28,33.94
251.8,1006,899.8,56,44.14
251.8,1006,899.8,100,45.37
249.1,987.8,889,3,15.36
249.1,987.8,889,14,28.68
249.1,987.8,889,28,30.85
249.1,987.8,889,56,42.03
249.1,987.8,889,100,51.06
252.3,987.8,889,3,21.78
252.3,987.8,889,14,42.29
252.3,987.8,889,28,50.6
252.3,987.8,889,56,55.83
252.3,987.8,889,100,60.95
246.8,1086.8,800.9,3,23.52
246.8,1086.8,800.9,14,42.22
246.8,1086.8,800.9,28,52.5
246.8,1086.8,800.9,56,60.32
246.8,1086.8,800.9,100,66.42
275.1,1053.6,777.5,3,23.8
275.1,1053.6,777.5,14,38.77
275.1,1053.6,777.5,28,51.33
275.1,1053.6,777.5,56,56.85
275.1,1053.6,777.5,100,58.61
297.2,1022.8,753.5,3,21.91
297.2,1022.8,753.5,14,36.99
297.2,1022.8,753.5,28,47.4
297.2,1022.8,753.5,56,51.96
297.2,1022.8,753.5,100,56.74
213.7,1053.5,776.4,3,17.57
213.7,1053.5,776.4,14,33.73
213.7,1053.5,776.4,28,40.15
213.7,1053.5,776.4,56,46.64
213.7,1053.5,776.4,100,50.08
213.5,1052.3,775.5,3,17.37
213.5,1052.3,775.5,14,33.7
213.5,1052.3,775.5,28,45.94
213.5,1052.3,775.5,56,51.43
213.5,1052.3,775.5,100,59.3
277.2,1061.7,782.5,3,30.45
277.2,1061.7,782.5,14,47.71
277.2,1061.7,782.5,28,63.14
277.2,1061.7,782.5,56,66.82
277.2,1061.7,782.5,100,66.95
218.2,1075.7,792.7,3,27.42
218.2,1075.7,792.7,14,35.96
218.2,1075.7,792.7,28,55.51
218.2,1075.7,792.7,56,61.99
218.2,1075.7,792.7,100,63.53
214.9,1014.3,780.6,3,18.02
214.9,1014.3,780.6,14,38.6
214.9,1014.3,780.6,28,52.2
214.9,1014.3,780.6,56,53.96
214.9,1014.3,780.6,100,56.63
218.9,1078.7,794.9,3,15.34
218.9,1078.7,794.9,14,26.05
218.9,1078.7,794.9,28,30.22
218.9,1078.7,794.9,56,37.27
218.9,1078.7,794.9,100,46.23
376,1003.5,762.4,3,16.28
376,1003.5,762.4,14,25.62
376,1003.5,762.4,28,31.97
376,1003.5,762.4,56,36.3
376,1003.5,762.4,100,43.06
500,966,853,28,67.57
475,1098,641,28,57.23
315,1130,745,28,81.75
505,1030,630,28,64.02
451,1030,745,28,78.8
516,801,802,28,41.37
520,855,855,28,60.28
528,920,720,28,56.83
520,870,805,28,51.02
385,903,768,28,55.55
500.1,1124.4,613.2,28,44.13
450.1,1124.4,613.2,28,39.38
397,967,633,28,55.65
333,996,652,28,47.28
334,967,633,28,44.33
405,1120,695,28,52.3
200,1145,660,28,49.25
516,801,802,28,41.37
145,833,880,28,29.16
160,824,879,28,39.4
234,981,760,28,39.3
250,860,800,28,67.87
475,1044,662,28,58.52
285,1031,685,28,53.58
356,1061,657,28,59
275,830,765,28,76.24
500,1033,655,28,69.84
165,1005.6,900.9,3,14.4
165,1005.8,746.6,3,19.42
178,1007.3,746.8,3,20.73
167.4,1006.3,746.6,3,14.94
172.4,1006.3,856.4,3,21.29
173.5,1006.2,793.5,3,23.08
167,1007.3,770.1,3,15.52
173.8,1007.2,746.6,3,15.82
190.3,1079,798.9,3,12.55
250,948.9,857.2,3,8.49
213.5,1043.6,771.9,3,15.61
194.7,998,901.8,3,12.18
251.4,1043.6,754.3,3,11.98
165,1005.6,900.9,14,16.88
165,1005.8,746.6,14,33.09
178,1007.3,746.8,14,34.24
167.4,1006.3,746.6,14,31.81
172.4,1006.3,856.4,14,29.75
173.5,1006.2,793.5,14,33.01
167,1007.3,770.1,14,32.9
173.8,1007.2,746.6,14,29.55
190.3,1079,798.9,14,19.42
250,948.9,857.2,14,24.66
213.5,1043.6,771.9,14,29.59
194.7,998,901.8,14,24.28
251.4,1043.6,754.3,14,20.73
165,1005.6,900.9,28,26.2
165,1005.8,746.6,28,46.39
178,1007.3,746.8,28,39.16
167.4,1006.3,746.6,28,41.2
172.4,1006.3,856.4,28,33.69
173.5,1006.2,793.5,28,38.2
167,1007.3,770.1,28,41.41
173.8,1007.2,746.6,28,37.81
190.3,1079,798.9,28,24.85
250,948.9,857.2,28,27.22
213.5,1043.6,771.9,28,44.64
194.7,998,901.8,28,37.27
251.4,1043.6,754.3,28,33.27
165,1005.6,900.9,56,36.56
165,1005.8,746.6,56,53.72
178,1007.3,746.8,56,48.59
167.4,1006.3,746.6,56,51.72
172.4,1006.3,856.4,56,35.85
173.5,1006.2,793.5,56,53.77
167,1007.3,770.1,56,53.46
173.8,1007.2,746.6,56,48.99
190.3,1079,798.9,56,31.72
250,948.9,857.2,56,39.64
213.5,1043.6,771.9,56,51.26
194.7,998,901.8,56,43.39
251.4,1043.6,754.3,56,39.27
165,1005.6,900.9,100,37.96
165,1005.8,746.6,100,55.02
178,1007.3,746.8,100,49.99
167.4,1006.3,746.6,100,53.66
172.4,1006.3,856.4,100,37.68
173.5,1006.2,793.5,100,56.06
167,1007.3,770.1,100,56.81
173.8,1007.2,746.6,100,50.94
190.3,1079,798.9,100,33.56
250,948.9,857.2,100,41.16
213.5,1043.6,771.9,100,52.96
194.7,998,901.8,100,44.28
251.4,1043.6,754.3,100,40.15
446,967,712,28,57.03
446,967,712,28,44.42
446,967,712,28,51.02
446,967,712,28,53.39
446,967,712,3,35.36
446,967,712,3,25.02
446,967,712,3,23.35
446,967,712,7,52.01
446,967,712,7,38.02
446,967,712,7,39.3
446,967,712,56,61.07
446,967,712,56,56.14
446,967,712,56,55.25
446,967,712,56,54.77
387,938,845,28,50.24
387,938,845,28,46.68
387,938,845,28,46.68
387,938,845,3,22.75
387,938,845,3,25.51
387,938,845,3,34.77
387,938,845,7,36.84
387,938,845,7,45.9
387,938,845,7,41.67
387,938,845,56,56.34
387,938,845,56,47.97
387,938,845,56,61.46
355,967,871,28,44.03
355,967,871,28,55.45
491,882,699,28,55.55
491,822,699,28,57.92
491,882,699,3,25.61
491,882,699,7,33.49
491,882,699,56,59.59
491,822,699,3,29.55
491,822,699,7,37.92
491,822,699,56,61.86
424,822,750,28,62.05
424,882,750,3,32.01
424,822,750,28,72.1
424,822,750,7,39
424,822,750,56,65.7
424,822,750,3,32.11
424,822,750,7,40.29
424,822,750,56,74.36
202,942,801,28,21.97
202,942,801,3,9.85
202,942,801,7,15.07
202,942,801,56,23.25
284,842,801,28,43.73
284,842,801,3,13.4
284,842,801,7,24.13
284,842,801,56,44.52
359,942,801,28,62.94
359,942,801,28,59.49
359,942,801,3,25.12
359,942,801,3,23.64
359,942,801,7,35.75
359,942,801,7,38.61
359,942,801,56,68.75
359,942,801,56,66.78
436,838.4,719.7,28,23.85
289,913.2,895.3,90,32.07
289,913.2,895.3,3,11.65
393,940.6,785.6,3,19.2
393,940.6,785.6,90,48.85
393,940.6,785.6,28,39.6
480,936.2,712.2,28,43.94
480,936.2,712.2,7,34.57
480,936.2,712.2,90,54.32
480,936.2,712.2,3,24.4
333,931.2,842.6,3,15.62
255,889.8,945,90,21.86
255,889.8,945,7,10.22
289,913.2,895.3,7,14.6
255,889.8,945,28,18.75
333,931.2,842.6,28,31.97
333,931.2,842.6,7,23.4
289,913.2,895.3,28,25.57
333,931.2,842.6,90,41.68
393,940.6,785.6,7,27.74
255,889.8,945,3,8.2
158.8,1040.6,734.3,7,9.62
239.6,941.6,664.3,7,25.42
238.2,1040.6,734.3,7,15.69
181.9,1012.4,714.3,28,27.94
193.5,998.2,704.3,28,32.63
255.5,1026.6,724.3,7,17.24
272.8,1012.4,714.3,7,19.77
239.6,941.6,664.3,28,39.44
220.8,1055,744.3,28,25.75
397,1040.6,734.3,28,33.08
382.5,1047.8,739.3,7,24.07
210.7,977,689.3,7,21.82
158.8,1040.6,734.3,28,21.07
295.8,1091.4,769.3,7,14.84
255.5,1026.6,724.3,28,32.05
203.5,1076.2,759.3,7,11.96
397,1040.6,734.3,7,25.45
381.4,1104.6,784.3,28,22.49
295.8,1091.4,769.3,28,25.22
228,955.8,674.3,28,39.7
220.8,1055,744.3,7,13.09
316.1,977,689.3,28,38.7
135.7,1076.2,759.3,7,7.51
238.1,1118.8,789.3,28,17.58
339.2,1069.2,754.3,7,21.18
135.7,1076.2,759.3,28,18.2
193.5,998.2,704.3,7,17.2
203.5,1076.2,759.3,28,22.63
290.2,998.2,704.3,7,21.86
181.9,1012.4,714.3,7,12.37
170.3,1026.6,724.3,28,25.73
210.7,977,689.3,28,37.81
228,955.8,674.3,7,21.92
290.2,998.2,704.3,28,33.04
381.4,1104.6,784.3,7,14.54
238.2,1040.6,734.3,28,26.91
186.2,1083.4,764.3,7,8
339.2,1069.2,754.3,28,31.9
238.1,1118.8,789.3,7,10.34
252.5,1111.6,784.3,28,19.77
382.5,1047.8,739.3,28,37.44
252.5,1111.6,784.3,7,11.48
316.1,977,689.3,7,24.44
186.2,1083.4,764.3,28,17.6
170.3,1026.6,724.3,7,10.73
272.8,1012.4,714.3,28,31.38
339,968,781,3,13.22
339,968,781,7,20.97
339,968,781,14,27.04
339,968,781,28,32.04
339,968,781,90,35.17
339,968,781,180,36.45
339,968,781,365,38.89
236,968,885,3,6.47
236,968,885,14,12.84
236,968,885,28,18.42
236,968,885,90,21.95
236,968,885,180,24.1
236,968,885,365,25.08
277,968,856,14,21.26
277,968,856,28,25.97
277,968,856,3,11.36
277,968,856,90,31.25
277,968,856,180,32.33
277,968,856,360,33.7
254,968,863,3,9.31
254,968,863,90,26.94
254,968,863,180,27.63
254,968,863,365,29.79
307,968,812,180,34.49
307,968,812,365,36.15
307,968,812,3,12.54
307,968,812,28,27.53
307,968,812,90,32.92
236,968,885,7,9.99
200,1125,845,7,7.84
200,1125,845,28,12.25
225,1113,833,7,11.17
225,1113,833,28,17.34
325,1063,783,7,17.54
325,1063,783,28,30.57
275,1088,808,7,14.2
275,1088,808,28,24.5
300,1075,795,7,15.58
300,1075,795,28,26.85
375,1038,758,7,26.06
375,1038,758,28,38.21
400,1025,745,28,43.7
400,1025,745,7,30.14
250,1100,820,7,12.73
250,1100,820,28,20.87
350,1050,770,7,20.28
350,1050,770,28,34.29
203.5,963.4,630,7,19.54
250.2,977.6,694.1,90,47.71
157,935.4,781.2,90,43.38
141.3,971.8,748.5,28,29.89
166.8,975.6,692.6,3,6.9
122.6,958.2,800.1,90,33.19
183.9,959.2,800,3,4.9
102,887,942,3,4.57
102,887,942,90,25.46
122.6,958.2,800.1,28,24.29
166.8,975.6,692.6,28,33.95
200,965.4,806.2,3,11.41
108.3,938.2,849,28,20.59
305.3,965.4,631,7,25.89
108.3,938.2,849,90,29.23
116,909.8,891.9,90,31.02
141.3,971.8,748.5,7,10.39
157,935.4,781.2,28,33.66
133,927.4,839.2,28,27.87
250.2,977.6,694.1,7,19.35
173,946.8,856.8,7,11.39
192,929.8,716.1,3,12.79
192,929.8,716.1,28,39.32
153,888,943.1,3,4.78
288,932,717.8,3,16.11
305.3,965.4,631,28,43.38
236,972.6,749.1,7,20.42
173,946.8,856.8,3,6.94
212,973.4,750,7,15.03
236,972.6,749.1,3,13.57
183.9,959.2,800,90,32.53
166.8,975.6,692.6,7,15.75
102,887,942,7,7.68
288,932,717.8,28,38.8
212,973.4,750,28,33
102,887,942,28,17.28
173,946.8,856.8,28,24.28
183.9,959.2,800,28,24.05
133,927.4,839.2,90,36.59
192,929.8,716.1,90,50.73
133,927.4,839.2,7,13.66
305.3,965.4,631,3,14.14
236,972.6,749.1,90,47.78
108.3,938.2,849,3,2.33
157,935.4,781.2,7,16.89
288,932,717.8,7,23.52
212,973.4,750,3,6.81
212,973.4,750,90,39.7
153,888,943.1,28,17.96
236,972.6,749.1,28,32.88
116,909.8,891.9,28,22.35
183.9,959.2,800,7,10.79
108.3,938.2,849,7,7.72
203.5,963.4,630,28,41.68
203.5,963.4,630,3,9.56
133,927.4,839.2,3,6.88
288,932,717.8,90,50.53
200,965.4,806.2,7,17.17
200,965.4,806.2,28,30.44
250.2,977.6,694.1,3,9.73
122.6,958.2,800.1,3,3.32
153,888,943.1,90,26.32
200,965.4,806.2,90,43.25
116,909.8,891.9,3,6.28
173,946.8,856.8,90,32.1
250.2,977.6,694.1,28,36.96
305.3,965.4,631,90,54.6
192,929.8,716.1,7,21.48
157,935.4,781.2,3,9.69
153,888,943.1,7,8.37
141.3,971.8,748.5,90,39.66
116,909.8,891.9,7,10.09
141.3,971.8,748.5,3,4.83
122.6,958.2,800.1,7,10.35
166.8,975.6,692.6,90,43.57
203.5,963.4,630,90,51.86
310,1012,830,3,11.85
310,1012,830,7,17.24
310,1012,830,28,27.83
310,1012,830,90,35.76
310,1012,830,120,38.7
331,1025,821,3,14.31
331,1025,821,7,17.44
331,1025,821,28,31.74
331,1025,821,90,37.91
331,1025,821,120,39.38
349,1056,809,3,15.87
349,1056,809,7,9.01
349,1056,809,28,33.61
349,1056,809,90,40.66
349,1056,809,120,40.86
238,1119,789,7,12.05
238,1119,789,28,17.54
296,1090,769,7,18.91
296,1090,769,28,25.18
297,1040,734,7,30.96
480,936,721,28,43.89
480,936,721,90,54.28
397,1040,734,28,36.94
281,1104,774,7,14.5
281,1104,774,28,22.44
500,1125,613,1,12.64
500,1125,613,3,26.06
500,1125,613,7,33.21
500,1125,613,14,36.94
500,1125,613,28,44.09
540,1125,613,7,52.61
540,1125,613,14,59.76
540,1125,613,28,67.31
540,1125,613,90,69.66
540,1125,613,180,71.62
540,1125,613,270,74.17
350,974,775,7,18.13
350,974,775,14,22.53
350,974,775,28,27.34
350,974,775,56,29.98
350,974,775,90,31.35
350,974,775,180,32.72
385,966,763,1,6.27
385,966,763,3,14.7
385,966,763,7,23.22
385,966,763,14,27.92
385,966,763,28,31.35
331,978,825,180,39
331,978,825,360,41.24
349,1047,806,3,14.99
331,978,825,3,13.52
382,1047,739,7,24
382,1047,739,28,37.42
382,1111,784,7,11.47
281,1104,774,28,22.44
339,1069,754,7,21.16
339,1069,754,28,31.84
295,1069,769,7,14.8
295,1069,769,28,25.18
238,1118,789,28,17.54
296,1085,765,7,14.2
296,1085,765,28,21.65
296,1085,765,90,29.39
331,879,825,3,13.52
331,978,825,7,16.26
331,978,825,28,31.45
331,978,825,90,37.23
349,1047,806,7,18.13
349,1047,806,28,32.72
349,1047,806,90,39.49
349,1047,806,180,41.05
349,1047,806,360,42.13
302,974,817,14,18.13
302,974,817,180,26.74
525,1125,613,180,61.92
500,1125,613,90,47.22
500,1125,613,180,51.04
500,1125,613,270,55.16
540,1125,613,3,41.64
252,1111,784,7,13.71
252,1111,784,28,19.69
339,1060,754,28,31.65
393,940,758,3,19.11
393,940,758,28,39.58
393,940,758,90,48.79
382,1047,739,7,24
382,1047,739,28,37.42
252,1111,784,7,11.47
252,1111,784,28,19.69
310,970,850,7,14.99
310,970,850,28,27.92
310,970,850,90,34.68
310,970,850,180,37.33
310,970,850,360,38.11
525,1125,613,3,33.8
525,1125,613,7,42.42
525,1125,613,14,48.4
525,1125,613,28,55.94
525,1125,613,90,58.78
525,1125,613,270,67.11
322,974,800,14,20.77
322,974,800,28,25.18
322,974,800,180,29.59
302,974,817,28,21.75
397,1040,734,28,39.09
480,936,721,3,24.39
522,896,896,7,50.51
522,896,896,28,74.99
273,904,680,28,37.17
162,838,741,28,33.76
154,923,658,28,16.5
147,860,829,28,19.99
152,944,695,28,36.35
310,914,651,28,33.69
144,943,844,28,15.42
304,895,722,28,33.42
374,1013,730,28,39.05
159,953,720,28,27.68
153,1002,684,28,26.86
310,914,804,28,45.3
305,959,705,28,30.12
151,991,772,28,15.57
142,883,785,28,44.61
298,878,655,28,53.52
321,870,774,28,57.21
366,824,757,28,65.91
280,825,805,28,52.82
252,835,821,28,33.4
165,1023,729,28,18.03
156,1022,698,28,37.36
160,829,710,28,32.84
298,879,815,28,42.64
318,861,737,28,40.06
287,904,696,28,41.94
326,882,790,28,61.23
356,801,778,28,40.87
132,867,736,28,33.3
322,951,709,28,52.42
164,849,846,28,15.09
314,925,783,28,38.46
321,870,780,28,37.26
140,869,656,28,35.23
288,908,829,28,42.13
298,880,744,28,31.87
265,833,790,28,41.54
160,1049,688,28,39.45
166,859,827,28,37.91
276,870,768,28,44.28
322,818,813,28,31.18
149,892,780,28,23.69
159,990,789,28,32.76
261,864,761,28,32.4
237,853,695,28,28.63
313,1002,689,28,36.8
155,1047,697,28,18.28
146,827,872,28,33.06
296,819,778,28,31.42
133,949,795,28,31.03
313,867,824,28,44.39
152,992,816,28,12.18
153,1002,689,28,25.56
140,916,753,28,36.44
149,847,893,28,32.96
300,878,728,28,23.84
153,867,824,28,26.23
148,1002,830,28,17.95
326,801,792,28,40.68
153,1000,822,28,19.01
262,895,733,28,33.72
158,898,713,28,8.54
151,1074,678,28,13.46
273,931,762,28,32.24
149,953,780,28,23.52
143,967,643,28,29.72
260,936,763,28,49.77
313,917,759,28,52.44
284,970,794,28,40.93
336,986,817,28,44.86
145,979,812,28,13.2
150,1069,675,28,37.43
144,814,805,28,29.87
331,811,802,28,56.61
155,1047,697,28,12.46
155,877,868,28,23.79
135,961,805,28,13.29
266,910,745,28,39.42
314,869,690,28,46.23
313,1000,822,28,44.52
