Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Concrete compressive strength
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.69717028
531.3,0,0,141.8,28.2,852.1,893.7,28,56.3991368
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.49592324
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.69782984
439,177,0,186,11.1,884.9,707.9,28,65.99664272
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
337.9,189,0,174.9,9.5,944.7,755.8,28,49.89737812
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.90037588
425,106.3,0,151.4,18.6,936,803.7,56,64.90037588
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
531.3,0,0,141.8,28.2,852.1,893.7,56,58.79851328
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.69808964
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99482412
389.9,189,0,145.9,22,944.7,755.8,56,79.40005616
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.59648684
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5009994
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.59882504
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.09954452
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.497622
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
439,177,0,186,11.1,884.9,707.9,91,73.29819356
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
222.36,0,96.67,189.29,4.46,967.08,870.32,3,11.57630204
222.36,0,96.67,189.29,4.46,967.08,870.32,28,24.8900836
222.36,0,96.67,189.29,4.46,967.08,870.32,56,29.44751996
222.36,0,96.67,189.29,4.46,967.08,870.32,100,40.7135578
233.81,0,94.58,197.89,4.567,947.04,852.16,3,10.38350856
233.81,0,94.58,197.89,4.567,947.04,852.16,56,27.66177712
194.68,0,100.52,165.62,7.48,1006.4,905.9,56,33.96358776
194.68,0,100.52,165.62,7.48,1006.4,905.9,100,37.34202016
190.68,0,125.4,162.14,7.77,1090,804.01,28,26.40003604
190.68,0,125.4,162.14,7.77,1090,804.01,56,35.34253976
190.68,0,125.4,162.14,7.77,1090,804.01,100,40.56876784
212.07,0,121.62,180.31,5.69,1057.6,779.32,3,12.47262084
212.07,0,121.62,180.31,5.69,1057.6,779.32,100,39.6103962
229.97,0,118.31,195.47,4.63,1029.4,758.59,3,10.0318758
229.97,0,118.31,195.47,4.63,1029.4,758.59,28,24.48329276
229.97,0,118.31,195.47,4.63,1029.4,758.59,56,31.53663224
190.34,0,125.18,161.85,9.88,1088.1,802.59,14,22.7182342
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,28.46846404
190.34,0,125.18,161.85,9.88,1088.1,802.59,56,38.56239268
166.09,0,163.27,176.46,4.49,1058.6,780.09,14,25.48303296
166.09,0,163.27,176.46,4.49,1058.6,780.09,56,28.62704352
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14,17.8229546
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28,24.24197616
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56,50.77301264
213.76,98.06,24.52,181.74,6.65,1066,785.52,3,13.18278112
229.68,0,118.16,195.23,6.13,1028.1,757.63,100,40.85834776
238.05,0,94.11,186.66,7,949.91,847.01,14,25.68987576
238.05,0,94.11,186.66,7,949.91,847.01,28,30.2335226
238.05,0,94.11,186.66,7,949.91,847.01,100,44.298833
250,0,95.69,187.42,5.53,956.86,861.17,3,13.81709904
250,0,95.69,187.42,5.53,956.86,861.17,14,24.91766264
212.52,0,100.37,159.32,8.71,1007.8,903.59,3,13.54130864
212.52,0,100.37,159.32,8.71,1007.8,903.59,14,26.31040416
212.52,0,100.37,159.32,8.71,1007.8,903.59,28,31.64005364
212.52,0,100.37,159.32,8.71,1007.8,903.59,56,42.54756396
212.57,0,100.39,159.35,10.37,1003.8,903.79,3,13.33446584
212.57,0,100.39,159.35,10.37,1003.8,903.79,14,25.3727168
212.57,0,100.39,159.35,10.37,1003.8,903.79,56,44.39535964
212.57,0,100.39,159.35,10.37,1003.8,903.79,100,47.73931824
212,0,124.78,159,7.84,1085.4,799.54,3,19.51906556
212,0,124.78,159,7.84,1085.4,799.54,28,38.50033984
212,0,124.78,159,7.84,1085.4,799.54,56,45.08483564
231.75,0,121.62,173.96,6.72,1056.4,778.45,14,26.77235308
231.75,0,121.62,173.96,6.72,1056.4,778.45,28,33.72916592
251.37,0,118.27,188.45,5.75,1028.4,757.73,3,17.22311048
251.37,0,118.27,188.45,5.75,1028.4,757.73,14,29.93015316
251.37,0,118.27,188.45,5.75,1028.4,757.73,28,29.65436276
251.37,0,118.27,188.45,5.75,1028.4,757.73,56,36.96970312
251.37,0,118.27,188.45,5.75,1028.4,757.73,100,43.58177796
251.37,0,118.27,188.45,6.35,1028.4,757.73,14,24.42813468
251.37,0,118.27,188.45,6.35,1028.4,757.73,28,32.66047812
181.38,0,167.01,169.59,7.56,1055.6,777.8,3,13.62404576
181.38,0,167.01,169.59,7.56,1055.6,777.8,14,21.60128308
181.38,0,167.01,169.59,7.56,1055.6,777.8,28,27.77209328
181.38,0,167.01,169.59,7.56,1055.6,777.8,56,35.57006684
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,7.31534036
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,21.50475644
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,31.2677366
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56,43.49904084
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100,48.67011084
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.39807748
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,39.14844728
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384
290.35,0,96.18,168.08,9.41,961.18,865,3,22.50449664
290.35,0,96.18,168.08,9.41,961.18,865,100,48.97348028
277.05,0,97.39,160.6,11.83,973.9,875.61,3,23.13881456
277.05,0,97.39,160.6,11.83,973.9,875.61,14,41.885667
277.05,0,97.39,160.6,11.83,973.9,875.61,28,48.28400428
277.05,0,97.39,160.6,11.83,973.9,875.61,100,55.6407132
295.71,0,95.64,171.54,8.87,955.14,859.2,3,22.94576128
295.71,0,95.64,171.54,8.87,955.14,859.2,56,48.71837416
251.81,0,99.94,146.14,12.35,1006,899.76,3,21.02212324
251.81,0,99.94,146.14,12.35,1006,899.76,28,33.94290348
249.1,0,98.75,158.11,12.8,987.76,889.01,28,30.84715624
249.1,0,98.75,158.11,12.8,987.76,889.01,56,42.03045696
252.31,0,98.75,146.25,14.17,987.76,889.01,56,55.82687172
246.83,0,125.08,143.3,11.99,1086.8,800.89,3,23.52492112
246.83,0,125.08,143.3,11.99,1086.8,800.89,14,42.21661548
246.83,0,125.08,143.3,11.99,1086.8,800.89,56,60.32225524
246.83,0,125.08,143.3,11.99,1086.8,800.89,100,66.42411784
275.07,0,121.35,159.48,9.9,1053.6,777.5,3,23.80071152
275.07,0,121.35,159.48,9.9,1053.6,777.5,100,58.60546
297.16,0,117.54,174.8,9.52,1022.8,753.45,56,51.95891136
213.74,0,174.74,154.79,10.16,1053.5,776.35,3,17.57474324
213.74,0,174.74,154.79,10.16,1053.5,776.35,14,33.72916592
213.74,0,174.74,154.79,10.16,1053.5,776.35,28,40.14818748
213.74,0,174.74,154.79,10.16,1053.5,776.35,56,46.6430514
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14,47.7117392
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,66.82401392
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3,27.42046052
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28,55.50971276
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.52831864
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3,18.01600788
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14,38.60376124
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28,52.20022796
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,53.95839176
218.85,0,124.13,158.49,11.33,1078.7,794.91,28,30.21973308
218.85,0,124.13,158.49,11.33,1078.7,794.91,56,37.2661778
218.85,0,124.13,158.49,11.33,1078.7,794.91,100,46.2293658
376,0,0,214.6,0,1003.5,762.36,14,25.62092816
376,0,0,214.6,0,1003.5,762.36,28,31.97100212
376,0,0,214.6,0,1003.5,762.36,56,36.3009114
520,0,0,170,5.2,855,855,28,60.28088668
520,0,0,175,5.2,870,805,28,51.021224
385,0,136,158,20,903,768,28,55.55108132
450.1,50,0,200,3,1124.4,613.2,28,39.37597436
333,17.5,163,167,17.9,996,652,28,47.27736932
405,0,0,175,0,1120,695,28,52.30364936
516,0,0,162,8.26,801,802,28,41.36856
145,116,119,184,5.7,833,880,28,29.15794004
234,156,0,189,5.85,981,760,28,39.300132
475,0,0,162,9.5,1044,662,28,58.52272288
285,190,0,163,7.6,1031,685,28,53.57917996
500,0,0,151,9,1033,655,28,69.83702404
165,128.5,132.1,175.06,8.08,1005.8,746.6,3,19.41564416
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3,14.94094492
167,75.4,167,164.03,7.91,1007.3,770.1,3,15.52010476
165,0.02,143.57,163.81,0,1005.6,900.9,14,16.87837248
165,128.5,132.1,175.06,8.08,1005.8,746.6,14,33.08795324
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14,34.23937816
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14,33.00521612
250,0,95.69,191.84,5.33,948.9,857.2,14,24.65566176
213.5,0,174.24,159.21,11.66,1043.6,771.9,14,29.59230992
165,0.02,143.57,163.81,0,1005.6,900.9,28,26.200088
165,128.5,132.1,175.06,8.08,1005.8,746.6,28,46.38794528
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28,41.20308576
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28,33.68779736
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28,37.81086384
250,0,95.69,191.84,5.33,948.9,857.2,28,27.22051248
213.5,0,174.24,159.21,11.66,1043.6,771.9,28,44.63667624
251.37,0,118.27,192.94,5.75,1043.6,754.3,28,33.27411176
165,0.02,143.57,163.81,0,1005.6,900.9,56,36.56291228
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56,51.72448952
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56,35.852752
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56,53.77223324
167,75.4,167,164.03,7.91,1007.3,770.1,56,53.46196904
213.5,0,174.24,159.21,11.66,1043.6,771.9,56,51.25564584
194.68,0,100.52,170.17,7.48,998,901.8,56,43.38872468
251.37,0,118.27,192.94,5.75,1043.6,754.3,56,39.2656582
165,0.02,143.57,163.81,0,1005.6,900.9,100,37.9556538
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,100,53.65502232
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100,37.6798634
167,75.4,167,164.03,7.91,1007.3,770.1,100,56.8128224
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100,50.93848688
250,0,95.69,191.84,5.33,948.9,857.2,100,41.1617172
446,24,79,162,11.61,967,712,28,57.02655996
446,24,79,162,10.3,967,712,28,53.38612668
446,24,79,162,11.64,967,712,3,25.02108404
446,24,79,162,11.61,967,712,7,52.00717468
446,24,79,162,11.64,967,712,7,38.01770664
446,24,79,162,11.64,967,712,7,39.300132
446,24,79,162,11.64,967,712,56,55.25460664
387,20,94,157,14.32,938,845,28,50.23522136
387,20,94,157,11.61,938,845,28,46.68441996
387,20,94,157,14.32,938,845,3,22.752708
387,20,94,157,13.93,938,845,3,25.510612
387,20,94,157,11.61,938,845,3,34.77027468
387,20,94,157,14.32,938,845,7,36.83870268
387,20,94,157,11.61,938,845,56,61.45989064
355,19,97,145,13.13,967,871,28,44.02993736
355,19,97,145,12.25,967,871,28,55.45455468
491,26,123,210,3.93,882,699,28,55.55108132
491,26,123,201,3.93,822,699,28,57.915984
491,26,123,210,3.93,882,699,3,25.60910857
491,26,123,210,3.93,882,699,7,33.48883428
491,26,123,210,3.93,882,699,56,59.59042572
491,26,123,201,3.93,822,699,7,37.92118
491,26,123,201,3.93,822,699,56,61.85584685
424,22,132,178,8.48,822,750,56,65.69721315
424,22,132,168,8.92,822,750,3,32.10988228
424,22,132,168,8.92,822,750,56,74.36491146
202,11,141,206,1.72,942,801,28,21.96670536
202,11,141,206,1.72,942,801,3,9.849657146
202,11,141,206,1.72,942,801,56,23.24519085
284,15,141,179,5.46,842,801,28,43.73346268
284,15,141,179,5.46,842,801,3,13.39553372
284,15,141,179,5.46,842,801,56,44.52045028
359,19,141,154,10.91,942,801,28,62.93536928
359,19,141,154,10.91,942,801,7,35.75425543
359,19,141,154,10.91,942,801,56,68.75060685
359,19,141,154,10.91,942,801,56,66.78067543
289,0,0,192,0,913.2,895.3,3,11.6549023
393,0,0,192,0,940.6,785.6,3,19.1991487
393,0,0,192,0,940.6,785.6,90,48.8466167
393,0,0,192,0,940.6,785.6,28,39.60488039
480,0,0,192,0,936.2,712.2,28,43.94237391
333,0,0,192,0,931.2,842.6,3,15.61594192
255,0,0,192,0,889.8,945,90,21.8591471
289,0,0,192,0,913.2,895.3,7,14.5968964
255,0,0,192,0,889.8,945,28,18.74616296
333,0,0,192,0,931.2,842.6,7,23.4049523
255,0,0,192,0,889.8,945,3,8.204074924
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.617500724
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69109481
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.23621052
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.76520849
397,0,0,185.7,0,1040.6,734.3,28,33.08243743
382.5,0,0,185.7,0,1047.8,739.3,7,24.0654703
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05167081
397,0,0,185.7,0,1040.6,734.3,7,25.44786968
295.8,0,0,185.7,0,1091.4,769.3,28,25.21689522
220.8,147.2,0,185.7,0,1055,744.3,7,13.08901238
316.1,210.7,0,185.7,0,977,689.3,28,38.70028788
238.1,0,0,185.7,0,1118.8,789.3,28,17.57612219
339.2,0,0,185.7,0,1069.2,754.3,7,21.17932377
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.19871902
193.5,290.2,0,185.7,0,998.2,704.3,7,17.20035777
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.62998127
290.2,193.5,0,185.7,0,998.2,704.3,7,21.8591471
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.72641799
210.7,316.1,0,185.7,0,977,689.3,28,37.81362174
228,342.1,0,185.7,0,955.8,674.3,7,21.91706309
252.5,0,0,185.7,0,1111.6,784.3,7,11.48391226
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73031499
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38150014
339,0,0,197,0,968,781,28,32.03994972
339,0,0,197,0,968,781,90,35.17017076
339,0,0,197,0,968,781,180,36.44570136
236,0,0,194,0,968,885,3,6.46728488
236,0,0,194,0,968,885,14,12.83804312
236,0,0,193,0,968,885,180,24.10408096
277,0,0,191,0,968,856,14,21.26343984
277,0,0,191,0,968,856,3,11.36256448
277,0,0,191,0,968,856,90,31.25394708
277,0,0,191,0,968,856,180,32.32952964
254,0,0,198,0,968,863,90,26.94472208
254,0,0,198,0,968,863,365,29.7853632
307,0,0,193,0,968,812,180,34.48758952
307,0,0,193,0,968,812,365,36.14922668
236,0,0,193,0,968,885,7,9.99050724
200,0,0,180,0,1125,845,7,7.83934212
200,0,0,180,0,1125,845,28,12.24509376
225,0,0,181,0,1113,833,7,11.1695112
275,0,0,183,0,1088,808,7,14.2032056
275,0,0,183,0,1088,808,28,24.49708228
375,0,0,186,0,1038,758,7,26.0621928
375,0,0,186,0,1038,758,28,38.21075992
400,0,0,187,0,1025,745,7,30.14389072
250,0,0,182,0,1100,820,28,20.87043852
350,0,0,186,0,1050,770,7,20.27748916
350,0,0,186,0,1050,770,28,34.29453624
157,236,0,192,0,935.4,781.2,90,43.37700359
141.3,212,0,203.5,0,971.8,748.5,28,29.89223198
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19206412
183.9,122.6,0,203.5,0,959.2,800,3,4.903553312
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29092896
108.3,162.4,0,203.5,0,938.2,849,90,29.23171397
157,236,0,192,0,935.4,781.2,28,33.66435518
133,200,0,192,0,927.4,839.2,28,27.8748252
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35014394
173,116,0,192,0,946.8,856.8,7,11.39221195
236,157,0,192,0,972.6,749.1,7,20.41607384
173,116,0,192,0,946.8,856.8,3,6.940954892
212,141.3,0,203.5,0,973.4,750,7,15.0305768
236,157,0,192,0,972.6,749.1,3,13.5654403
183.9,122.6,0,203.5,0,959.2,800,90,32.53292506
166.8,250.2,0,203.5,0,975.6,692.6,7,15.74832132
102,153,0,192,0,887,942,7,7.675936308
288,192,0,192,0,932,717.8,28,38.80439876
102,153,0,192,0,887,942,28,17.27551066
173,116,0,192,0,946.8,856.8,28,24.28196577
133,200,0,192,0,927.4,839.2,7,13.66403537
236,157,0,192,0,972.6,749.1,90,47.78206575
108.3,162.4,0,203.5,0,938.2,849,3,2.331807832
157,236,0,192,0,935.4,781.2,7,16.8894041
288,192,0,192,0,932,717.8,7,23.52354217
153,102,0,192,0,888,943.1,28,17.96429718
236,157,0,192,0,972.6,749.1,28,32.88455782
116,173,0,192,0,909.8,891.9,28,22.34798559
203.5,305.3,0,203.5,0,963.4,630,28,41.68434001
203.5,305.3,0,203.5,0,963.4,630,3,9.561653168
200,133,0,192,0,965.4,806.2,7,17.16588397
250.2,166.8,0,203.5,0,977.6,694.1,3,9.731264264
122.6,183.9,0,203.5,0,958.2,800.1,3,3.31982694
200,133,0,192,0,965.4,806.2,90,43.25082948
305.3,203.5,0,203.5,0,965.4,631,90,54.59891496
157,236,0,192,0,935.4,781.2,3,9.694722036
141.3,212,0,203.5,0,971.8,748.5,90,39.6621069
141.3,212,0,203.5,0,971.8,748.5,3,4.827710952
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35455057
166.8,250.2,0,203.5,0,975.6,692.6,90,43.56523054
203.5,305.3,0,203.5,0,963.4,630,90,51.86376367
310,0,0,192,0,1012,830,3,11.85209244
310,0,0,192,0,1012,830,90,35.76312012
310,0,0,192,0,1012,830,120,38.70028788
349,0,0,192,0,1056,809,3,15.87173752
349,0,0,192,0,1056,809,28,33.60506024
238,0,0,186,0,1119,789,7,12.05204048
238,0,0,186,0,1119,789,28,17.54026944
296,0,0,186,0,1090,769,28,25.17966352
397,0,0,186,0,1040,734,28,36.93522932
281,0,0,186,0,1104,774,7,14.49968028
281,0,0,185,0,1104,774,28,22.43554904
500,0,0,200,0,1125,613,1,12.63809508
500,0,0,200,0,1125,613,3,26.0621928
540,0,0,173,0,1125,613,7,52.61391356
540,0,0,173,0,1125,613,180,71.62276688
540,0,0,173,0,1125,613,270,74.16693332
350,0,0,203,0,974,775,7,18.12632404
350,0,0,203,0,974,775,14,22.53207568
350,0,0,203,0,974,775,28,27.3377234
350,0,0,203,0,974,775,90,31.35047372
350,0,0,203,0,974,775,180,32.72253096
385,0,0,186,0,966,763,1,6.26733684
385,0,0,186,0,966,763,3,14.69962832
385,0,0,186,0,966,763,7,23.22155168
382,0,0,186,0,1047,739,28,37.42475728
382,0,0,186,0,1111,784,7,11.46598588
281,0,0,186,0,1104,774,28,22.43554904
296,0,0,192,0,1085,765,28,21.6495464
296,0,0,192,0,1085,765,90,29.39236188
349,0,0,192,0,1047,806,90,39.48629052
349,0,0,192,0,1047,806,360,42.1269836
302,0,0,203,0,974,817,14,18.12632404
500,0,0,200,0,1125,613,90,47.22221124
252,0,0,185,0,1111,784,7,13.71367764
339,0,0,185,0,1060,754,28,31.6469484
393,0,0,192,0,940,758,3,19.10537996
382,0,0,185,0,1047,739,7,24.00065956
382,0,0,185,0,1047,739,28,37.42475728
525,0,0,189,0,1125,613,3,33.79811352
525,0,0,189,0,1125,613,7,42.42345828
322,0,0,203,0,974,800,28,25.17966352
322,0,0,203,0,974,800,180,29.58541516
522,0,0,146,0,896,896,7,50.51101176
522,0,0,146,0,896,896,28,74.98740976
162,190,148,179,19,838,741,28,33.75674496
154,144,112,220,10,923,658,28,16.49916068
147,115,89,202,9,860,829,28,19.98790924
310,143,111,168,22,914,651,28,33.68779736
144,0,175,158,18,943,844,28,15.41668336
304,140,0,214,6,895,722,28,33.41890172
310,143,0,168,10,914,804,28,45.2985732
366,187,0,191,7,824,757,28,65.90701084
280,129,100,172,9,825,805,28,52.82075636
165,0,150,182,12,1023,729,28,18.0297974
156,243,0,180,11,1022,698,28,37.36270444
160,188,146,203,11,829,710,28,32.83974188
326,166,0,174,9,882,790,28,61.23236356
356,0,142,193,11,801,778,28,40.86524252
132,207,161,179,5,867,736,28,33.3016908
322,149,0,186,8,951,709,28,52.42086028
314,0,113,170,10,925,783,28,38.45897128
321,0,128,182,11,870,780,28,37.25928304
298,0,107,210,11,880,744,28,31.87447548
265,111,86,195,6,833,790,28,41.540929
166,260,0,183,13,859,827,28,37.91428524
149,139,109,193,6,892,780,28,23.69039536
159,187,0,176,11,990,789,28,32.76389952
261,100,78,201,9,864,761,28,32.39847724
237,92,71,247,6,853,695,28,28.62704352
313,0,113,178,8,1002,689,28,36.80422888
146,230,0,202,3,827,872,28,33.0603742
296,0,107,221,11,819,778,28,31.41942132
313,145,0,178,8,867,824,28,44.38846488
153,145,113,178,8,1002,689,28,25.55887532
140,133,103,200,7,916,753,28,36.4388066
153,145,113,178,8,867,824,28,26.22766704
148,0,137,158,16,1002,830,28,17.95395504
326,0,138,199,11,801,792,28,40.679084
262,111,86,195,5,895,733,28,33.7153764
151,0,185,167,16,1074,678,28,13.45857152
149,118,92,183,7,953,780,28,23.51802636
260,101,78,171,10,936,763,28,49.77327244
313,161,0,178,10,917,759,28,52.44154456
145,0,134,181,11,979,812,28,13.19657064
155,0,143,193,9,1047,697,28,12.45883132
135,0,166,180,10,961,805,28,13.29309728
314,145,113,179,8,869,690,28,46.2293658
155,184,143,194,9,880,699,28,28.98557104
289,134,0,195,6,924,760,28,46.24315532
148,175,0,171,2,1000,828,28,26.91714304
136,162,126,172,10,923,764,28,29.06830816
155,0,143,193,9,877,868,28,9.73540112
162,207,172,216,10,822,638,28,39.84481804
136,196,98,199,6,847,783,28,26.96540636
162,214,164,202,10,820,680,28,30.6472082
157,214,152,200,9,819,704,28,33.05347944
144,15,195,176,6,1021,709,28,15.340841
154,174,185,228,7,845,612,28,24.3385028
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.28766142
296,0,106.7,221.4,10.5,819.2,778.4,28,31.4201108
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.9379972
313.3,145,0,178.5,8,867.2,824,28,40.92522693
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18097249
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96384756
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.8358748
153.1,145,113,178.5,8,867.2,824,28,26.23318285
326.5,0,137.9,199,10.8,801.1,792.5,28,38.6306508
152.7,144.7,0,178.1,8,999.7,822.2,28,19.0095428
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.71882378
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46132942
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.24541357
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52423164
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.72606826
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77327244
284,119.7,0,168.3,7.2,970.4,794.2,28,40.9348796
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87085822
330.5,169.6,0,194.9,8.1,811,802.3,28,56.61907964
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.4595208
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74417449
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.14768782
298.1,0,107.5,163.6,12.8,953.2,784,28,35.86585204
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99108685
